Code,Description,Default_Translation (en-en),Target_Translation (sl-si),Has_Translation
I18N_RESULT,I18NCode for Result,Result,Rezultat,Yes
I18N_RET,I18NCode for Ret,Ret.,Ret.,Yes
I18N_RET_1Y,I18NCode for Ret 1Y,Ret.1Y,Ret.1Y,Yes
I18N_RETAIN,I18NCode for Retain,Retain,Obdržati,Yes
I18N_RETENTION,Retention,Retention,Zadrževanje,Yes
I18N_RETENTION_IS_REQUIRED,I18NCode for Retention is required,Retention is required,Zadrževanje je potrebno,Yes
I18N_RETURN_TO_LIST,I18NCode for Return to list,Return to list,Nazaj na seznam,Yes
I18N_RETURN_TO_LOGIN,I18NCode for Return to Login,Return to Login,Nazaj na prijavo,Yes
I18N_RETURN_TO_PREVIOUS_PAGE,I18NCode for Back to previous page,Return to previous page,Nazaj na prejšnjo stran,Yes
I18N_RG,I18NCode for RG,RG,RG,Yes
I18N_ROLE,I18NCode for Role,Role,Vloga,Yes
I18N_RR,I18NCode for RR,RR,RR,Yes
I18N_S,I18NCode for S,S,S,Yes
I18N_SAVE,I18NCode for Save Button,Save,Shrani,Yes
I18N_SAVED_FILES,I18NCode for Saved Files,Saved Files,Shranjene datoteke,Yes
I18N_SCHEDULED,I18NCode to scheduled,Scheduled,Načrtovano,Yes
I18N_SCHEDULED_DATE,I18NCode for Scheduled Date in Manage Tasks,Scheduled Date,Načrtovani datum,Yes
I18N_SEARCH,I18NCode for Search,Search,Iskanje,Yes
I18N_SEARCH_BY,I18NCode for Search By label,Search by,Iskanje po,Yes
I18N_SEARCH_BY_PROFESSION,I18NCode for Search By Profession,Search by Profession,Iskanje po poklicu,Yes
I18N_SEARCH_CHAPTER,I18NCode for Search Chapter,Search Chapter,Iskanje Poglavje,Yes
I18N_SEARCH_CODEI18N,,Search Code I18N,Iskalna koda I18N,Yes
I18N_SEARCH_CONTEXT,I18NCode for search context bar,Search context,Kontekst iskanja,Yes
I18N_SEARCH_COUNTRY,I18nCode for search country,Search Country,Država iskanja,Yes
I18N_SEARCH_COUNTRY_LASTMONTH,I18NCode for Search Country Last Month,,,Yes
I18N_SEARCH_DIRECTOR,I18NCode for Search Director Bar,Search Director,Direktor iskanja,Yes
I18N_SEARCH_FOR_A_CONTACT_TO_START_A_CONVERSATION_,I18NCode for Search for a contact to start a conversation.,Find a contact to start a conversation. (Minimum 3 characters),"Poiščite stik, da začnete pogovor.",Yes
I18N_SEARCH_LANGUAGE,I18NCode for search language bar,Search language,Jezik iskanja,Yes
I18N_SEARCH_MEMBER,I18NCode for Search Member/Chapter,Search Member,Išči člana,Yes
I18N_SEARCH_MODULE,I18NCode for search module bar,Search module,Iskalni modul,Yes
I18N_SEARCH_PROFILES,I18NCode for Search in Profiles Page,Search Profiles,Iskanje profilov,Yes
I18N_SEARCH_REGION,I18NCode for search region bar,Search Region,Regija iskanja,Yes
I18N_SEARCH_TRANSLATION,I18NCode for search translation bar,Search translation,Išči prevod,Yes
I18N_SECONDS,I18NCode for seconds,seconds,sekund,Yes
I18N_SEE_ALL_CONVERSATIONS,"I18NCode for See all conversations
",See all conversations,Oglejte si vse pogovore,Yes
I18N_SELECT_A_CHAT_OR_CREATE_A_NEW_ONE,I18NCode for Select a chat or create a new one,Select a chat or create a new one,Izberite klepet ali ustvarite novega,Yes
I18N_SELECT_A_LANGUAGE,I18NCode for Select a language,Select a language,Izberite jezik,Yes
I18N_SELECT_AN_IMAGE_FIRST,I18NCode for Select an image First,Select an image first.,Najprej izberite sliko.,Yes
I18N_SELECT_CHAPTER,I18NCode for Select Chapter,Select a Chapter,Izberite poglavje,Yes
I18N_SELECT_DIRECTOR,I18NCode for Select Director,Select a Director,Izberite direktorja,Yes
I18N_SELECT_IMAGE,I18NCode for Select Image,Select image,Izberite sliko,Yes
I18N_SELECT_JUST_ONE_CONTACT,"I18NCode for Select just one contact
",Select just one contact,Izberite samo en stik,Yes
I18N_SELECT_KPI,I18NCode for Select Kpi,Select KPI,Izberite KPI,Yes
I18N_SEND,I18NCode for Send,Send,Pošlji,Yes
I18N_SEND_A_PRIVATE_MESSAGE_TO_MULTIPLE_RECIPIENTS_SIMULTANEOUSLY_WITH_THE_SAME_CONTENT,I18NCode for Send a private message to multiple recipients simultaneously with the same content.,Send a private message to multiple users simultaneously with the same content.,Pošljite zasebno sporočilo več uporabnikom hkrati z isto vsebino.,Yes
I18N_SEND_BROADCAST,I18NCode for Send Broadcast,Send broadcast,Pošlji oddajo,Yes
I18N_SEND_EMAILS,I18NCode for Send Emails,Send Emails,Pošlji e-pošto,Yes
I18N_SENDING,I18NCode for Sending,Sending...,Pošiljanje ...,Yes
I18N_SEPTEMBER,I18NCode for September,September,septembra,Yes
I18N_SETUP,I18NCode for Setup,Setup,Nastavitev,Yes
I18N_SETUPNEWPASSWORD,I18NCode for SetupNewPassword,Setup New Password,Nastavite novo geslo,Yes
I18N_SHARING_BUTTON_COOKIES,"I18NCode for Sharing button cookies
",Sharing button cookies,Gumb za deljenje piškotkov,Yes
I18N_SHORT_NAME,I18NCode for the short name	,ShortName,Kratko ime,Yes
I18N_SHOW_ALL,I18NCode for Show All,Show all contact sphere,Prikaži vse kontaktne sfere,Yes
I18N_SHOW_MEMBER_ON_THEIR,I18NCode for Show Member On Their,Show Member On Their,Pokaži članom na njihovem,Yes
I18N_SHOW_MEMBERS_RENEWING_OVER_THE_NEXT,I18NCode for Show Members Renewing Over The Next,Show Members Renewing Over The Next,"Prikažite člane, ki se podaljšajo čez naslednji čas",Yes
I18N_SHOW_ONLY_CE,I18NCode for Show Only CE,Show only chapter contacts sphere ,Pokaži samo sfero stikov poglavja,Yes
I18N_SIGN_IN,I18NCode for Sign in,Sign In,Prijavite se,Yes
I18N_SIGN_OUT,I18NCode for Sign Out,Sign out,Odjavite se,Yes
I18N_SIGN_UP,I18NCode for Sign Up,Sign Up,Prijavite se,Yes
I18N_SINCE,I18NCode for Since,Since,Ker,Yes
I18N_SIZE_GRAPH,I18NCode for Size on Graph,Size,Velikost,Yes
I18N_SIZE_IS_REQUIRED,I18NCode for Size is required,Size is required,Zahtevana je velikost,Yes
I18N_SOURCE,I18NCode for Source,Source,Vir,Yes
I18N_SPONS,I18NCode for Spons,Spons,Spons,Yes
I18N_SPONSOR_MODAL_TITTLE,I18NCode for SPONSOR Modal TIttle,List of Sponsored by,Seznam sponzorjev,Yes
I18N_SPONSOR_SINCE,I18NCode for Sponsor since,Sponsor since,Sponzor od,Yes
I18N_SPONSORED,I18NCode for Sponsored,Sponsored,Sponzorirano,Yes
I18N_SPONSORED_CHAPTER_,I18NCode for Sponsored Chapter	,Sponsored Chapter,Sponzorirano poglavje,Yes
I18N_SPONSORED_REGION_,I18NCode for Sponsored Region,Sponsored Region,Sponzorirana regija,Yes
I18N_START_ACTIVE_CHAPTERS,I18NCode for Start Active Chapters,Start Active Chapter,Zaženite aktivno poglavje,Yes
I18N_START_ACTIVE_MEMBERS,I18NCode for Start Active Members,Start Active Members,Začni aktivni člani,Yes
I18N_START_DATE,I18NCode for Start Date,Start Date,Začetni datum,Yes
I18N_START_DATE_IS_REQUIRED,I18NCode for Start date is required,Start date é obrigatória,Začetni datum é obrigatória,Yes
I18N_START_MONITORING,I18NCode for Start Monitoring,Start Monitoring,Začnite spremljanje,Yes
I18N_START_RETENTION,I18NCode for Start Retention,Start Retention,Začetek hrambe,Yes
I18N_START_VALUES,I18NCode for Start Values,Current Values,Trenutne vrednosti,Yes
I18N_STARTS_PROCESS,"I18NCode for ""Starts Process""",starts process,začne postopek,Yes
I18N_STATUS,I18NCode for status label,Status,Stanje,Yes
I18N_STAY_ACTIVE,I18NCode for Stay Active,Stay active,Ostanite aktivni,Yes
I18N_SUBJECT,I18NCode for Subject,Subject,Predmet,Yes
I18N_SUBMIT,I18NCode for the submit button,Submit,Predloži,Yes
I18N_SUBMIT_CHAT_MODAL,I18NCode for Submit Chat Modal,You just created a chat.,Pravkar ste ustvarili klepet.,Yes
I18N_SUBMIT_CONFIRM_BUTTON,I18NCode for Submit Confirm Button,"Ok, got it!","V redu, razumem!",Yes
I18N_SUBMIT_GOALS_WARNING_TEXT,I18NCode for Submit Goals Warning Text,Unable to create goal because one already exists in that date range,"Cilja ni mogoče ustvariti, ker že obstaja v tem časovnem obdobju",Yes
I18N_SUBMIT_MODAL,I18NCode for Submit Modal Text,Form has been successfully submitted!,Obrazec je bil uspešno oddan!,Yes
I18N_SUBMIT_WARNING_TEXT,I18NCode for Submit Warning Text,"Sorry, looks like there are some errors detected, please try again.","Oprostite, videti je, da je zaznanih nekaj napak, poskusite znova.",Yes
I18N_SUBSTITUTIONS,I18NCode for SUBSTITUTIONS,Substitutions,Zamenjave,Yes
I18N_SUCCESS,I18NCode for Success,Success,Uspeh,Yes
I18N_SUSPENDED,I18NCode for Suspended,Suspended,Prekinjeno,Yes
I18N_SUSPENDED_CHAPTERS,I18NCode for Suspended Chapters,Suspended Chapters,Prekinjena poglavja,Yes
I18N_SUSPENDED_MEMBERS,I18NCode for Suspended Members,Suspended Members,Suspendirani člani,Yes
I18N_SUSPENDED_MULTI,I18NCode for Suspended in Multi,Suspended,Prekinjeno,Yes
I18N_SWITCH_TO,I18NCode for SWITCH TO,Switch to ,Preklopi na,Yes
I18N_SYSTEM_ERROR,I18NCode for System Error,System Error,Sistemska napaka,Yes
I18N_TASK,I18NCode for Task,Tasks,Naloge,Yes
I18N_TASK_TYPE,I18NCode for Task Type,Task Type,Vrsta naloge,Yes
I18N_TASKS_FOR_FALLING_MEMBERS,I18NCode for Tasks for Falling Members,Tasks for Falling Members,Naloge za padajoče člane,Yes
I18N_TASKS_FOR_FALLING_MEMBERS_DESCRIPTION,I18NCode for Tasks for Falling Members Description,Activate tasks for falling members,Aktivirajte naloge za padajoče člane,Yes
I18N_TASKS_FOR_MEMBERS_RENEWING,I18NCode for Tasks for Members Renewing,Tasks for Members Renewing,Naloge za obnavljanje članov,Yes
I18N_TASKS_FOR_MEMBERS_RENEWING_DESCRIPTION,I18NCode for Tasks For Members Renewing Description,Activate tasks for members renewal,Aktivirajte naloge za podaljšanje članstva,Yes
I18N_TASKSTATUS,I18NCode for #TaskStatus in edit task modal,Task Status,Status opravila,Yes
I18N_TEAM,I18NCode for Team,Team,Ekipa,Yes
I18N_TEAM_INFORMATION,I18NCode for Team information,Team Information,Informacije o ekipi,Yes
I18N_TEAM_MEMBER,I18NCode for Team Member,Team Member,Član ekipe,Yes
I18N_TEAM_MEMBERS,I18NCode for Team Members,Team Members,Člani ekipe,Yes
I18N_TEAM_WORK,I18NCode for Team Work,Team Work,Timsko delo,Yes
I18N_TEAMS,I18NCode for Teams,Teams,Ekipe,Yes
I18N_TELEPHONE_CONTACT,I18NCode for Telephone Contact,Telephone Contact,Telefonski kontakt,Yes
I18N_TEST,I18NCode for Test,Test,Test,Yes
I18N_TESTIMONY,I18NCode for Testimony,Testimony,Pričevanje,Yes
I18N_THAN_PREVIOUS_MONTH,I18NCode for Than Previous Month,Than previous Month,Kot prejšnji mesec,Yes
I18N_THANK_YOU_FOR_CLOSING_BUSINESS,I18NCode for THANK YOU FOR CLOSING BUSINESS,Thank you for closing business,Hvala za zaprtje podjetja,Yes
I18N_THE_CHAT_WAS_NOT_DELETED_,I18NCode for The chat was not deleted!,The chat was not deleted!,Klepet ni bil izbrisan!,Yes
I18N_THE_COOKIES_NECESSARY_FOR_NAVIGATION_ON_THE_SITE,"I18NCode for The cookies necessary for navigation on the site
",The cookies necessary for navigation on the site,"Piškotki, potrebni za navigacijo po spletnem mestu",Yes
I18N_THE_EXPIRATION_DATE_AND_TIME_MUST_BE_LATER_THAN_THE_CURRENT_DATE_,I18NCode for The expiration date and time must be later than the current date.,The expiration date and time must be later than the current date.,Datum poteka in čas morata biti poznejši od trenutnega datuma.,Yes
I18N_THE_POLL_MUST_HAVE_AT_LEAST_2_VALID_OPTIONS_,I18NCode for The poll must have at least 2 valid options.,The poll must have at least 2 valid options.,Anketa mora imeti vsaj 2 veljavni možnosti.,Yes
I18N_THE_QUESTION_IS_MANDATORY,I18NCode for The question is mandatory,The question is mandatory.,Vprašanje je obvezno.,Yes
I18N_THE_REGION,I18NCode for The Region,The Region,Regija,Yes
I18N_THE_REGION_IN_NUMBERS,I18NCode for The Region in Numbers,The Region in Numbers,Regija v številkah,Yes
I18N_THE_TEAM,I18NCode for The Team,The Team,Ekipa,Yes
I18N_THE_TOKEN_PROVIDED_IS_INVALID_OR_HAS_EXPIRED,I18NCode for Invalid Or Expired Token,The token provided is invalid or has expired,Predloženi žeton je neveljaven ali je potekel,Yes
I18N_THERE_ARE_NO_USERS_FROM_THIS_REGION,I18NCode for There are no users from this region,There are no users from this region,Predloženi žeton je neveljaven ali je potekel,Yes
I18N_THERE_IS_NO_DATA_FOR_THE_CURRENT_PROFILE,I18NCode for There is no data for the current profile,There is no data for the current profile,Ni uporabnikov iz te regije,Yes
I18N_TILL,I18NCode for Till,Till,Za trenutni profil ni podatkov,Yes
I18N_TIME,I18NCode for Time in Kpi Correlation Page,Time,Čas,Yes
I18N_TIME_S_UP,I18NCode for Time's Up,Time's Up!,Čas je potekel!,Yes
I18N_TO,I18NCode from To,To,Za,Yes
I18N_TO_BELOW,"I18NCode for ""To Below""",To below,Do spodaj,Yes
I18N_TO_GREEN,I18NCode for To Green,To Green,Za Zeleno,Yes
I18N_TO_GREEN_LABEL_INFO,I18NCode for To Green Label Info,month(s) to reach Green,"mesec(-e), da dosežete Green",Yes
I18N_TO_RED,I18NCode for To Red,To Red,V Rdečo,Yes
I18N_TO_SCHEDULE,I18NCode To schedule,To Schedule,Na razpored,Yes
I18N_TO_SHOW,I18NCode for To Show,to display.,prikazati.,Yes
I18N_TO_YELLOW,I18NCode for To Yellow,To Yellow,Za rumeno,Yes
I18N_TOKEN_EXPIRED_MESSAGE,I18NCode for Token Expired Message,"<strong>Token Expired!</strong> Your activation Token has expired.
<br/>
Please request a new one to continue.",<strong>Žeton je potekel!</strong> Vaš aktivacijski žeton je potekel.,Yes
I18N_TOOLS_TO_IMPROVE_PERFORMANCE,I18NCode for Tools to improve performance,Tools to improve performance,Orodja za izboljšanje učinkovitosti,Yes
I18N_TOP_3,I18NCode for Top3,Top 3,Top 3,Yes
I18N_TOTAL,I18NCode for Total,Total,Skupaj,Yes
I18N_TOTAL_GROUPS,I18NCode for Total Groups,Total,Skupaj,Yes
I18N_TOTAL_MEMBERS,I18NCode for Total Members,Total members,Skupaj članov,Yes
I18N_TOTAL_NET_GROWTH,I18NCode for Total Net Growth,Total Net Growth,Skupna neto rast,Yes
I18N_TOTAL_SPONSORS,I18NCode for Total Sponsors,Total Sponsors,Skupni sponzorji,Yes
I18N_TOTAL_TEAMS,I18NCode for Total Teams,Total teams,Skupaj ekip,Yes
I18N_TOTAL_TYFCB,I18NCode for Total TYFCB,Total,Skupaj,Yes
I18N_TRADUCAOTESTE,TraducaoTeste,teste,teste,Yes
I18N_TRAFFIC_LIGHT_SYSTEM_LEADERSHIP_DESCRIPTION,I18NCode for Traffic Light System Leadership Description,Traffic light system for leadership,Sistem semaforja za vodstvo,Yes
I18N_TRAFFIC_LIGHTS,I18NCode for Traffic Lights,Traffic Lights,Semaforji,Yes
I18N_TRAFFIC_LIGHTS_CHAPTERS,I18NCode for Traffic Lights Chapters,Traffic Ligths / Chapters,Semaforji / Pogl,Yes
I18N_TRAFFIC_LIGHTS_COUNTRY_,I18NCode for TRAFFIC LIGHTS Country	,Traffic Lights Country,Država semaforjev,Yes
I18N_TRAFFIC_LIGHTS_EVOLUTION,I18NCode for Traffic Lights Evolution,Traffic Lights Evolution,Evolucija semaforjev,Yes
I18N_TRAFFIC_LIGHTS_EVOLUTION_COUNTRY,I18NCode for Traffic Lights Evolution Country,Traffic Lights Evolution Country,Semaforji Evolucija Država,Yes
I18N_TRAFFIC_LIGHTS_EVOLUTION_REGION,I18NCode for Traffic Lights Evolution Region Menu,Traffic Lights Evolution Region,Regija razvoja semaforjev,Yes
I18N_TRAFFIC_LIGHTS_MEMBERS,I18NCode for Traffic Lights Members,Traffic Lights / Members,Semaforji / Člani,Yes
I18N_TRAFFIC_LIGHTS_MULTIREGION,I18NCode for Traffic Lights MultiRegion,Traffic Lights MultiRegion,Semaforji MultiRegion,Yes
I18N_TRAFFIC_LIGHTS_REGION,I18NCode for Traffic Lights Region,Traffic Lights Region,Regija semaforjev,Yes
I18N_TRAINING_ATTENDANCE,I18NCode for Training Attendance Chart,Training Attendance,Udeležba na usposabljanju,Yes
I18N_TRANSLATED,I18NCode for Translated,Translated,Prevedeno,Yes
I18N_TRANSLATION,I18NCode for Translation,Translation,Prevajanje,Yes
I18N_TRANSLATION_INFORMATION_FOR,I18NCode for Translation Information For,Translation information for,Informacije o prevodu za,Yes
I18N_TRANSLATIONS,I18NCodes for translations,Translations,Prevodi,Yes
I18N_TRANSLATIONS_DESCRIPTION,I18NCode for translations description,Description,Opis,Yes
I18N_TRY_AGAIN,I18NCode for Try Again,Try again,poskusi ponovno,Yes
I18N_TYFCB,Thank you for closing business,TYFCB,TYFCB,Yes
I18N_TYFCB_PER_MEMBER,I18NCode for TYFCB per Member,Per Member,Na člana,Yes
I18N_TYFCB_TOTAL,I18NCode for TYFCB total 12 meses,Total (12 months),Skupaj (12 mesecev),Yes
I18N_TYPE,I18NCode for Type,Type,Vrsta,Yes
I18N_TYPE_OF_CONVERSATION,I18NCode for type of conversation,Chat type,Vrsta klepeta,Yes
I18N_TYPES_OF_COOKIES_USED,I18NCode for Types of cookies used,Types of cookies used,Vrste uporabljenih piškotkov,Yes
I18N_UNABLE_TO_PROCESS_YOUR_REQUEST,I18NCode for Unable To Process Your Request,Unable to process your request,Vaše zahteve ni mogoče obdelati,Yes
I18N_UP,I18NCode for Up,Up,Gor,Yes
I18N_UPCOMING_RENEWALS,I18NCode for Upcoming Renewels page,Upcomming Renewals,Prihajajoče obnovitve,Yes
I18N_UPDATE,I18NCode update label header modal,Update,posodobitev,Yes
I18N_UPDATE_CONTEXT,Update context label header modal	,Update ,posodobitev,Yes
I18N_UPDATE_DATE_RANGE,"I18NCode for Update date range
",Update Date Range,Posodobi časovno obdobje,Yes
I18N_UPDATE_LANGUAGE,Update languagelabel header modal,Update,posodobitev,Yes
I18N_UPDATE_MECHANISM,I18NCode for Update Mechanism,Update Mechanism,Mehanizem posodobitve,Yes
I18N_UPDATE_MODULE,Update module label header modal	,Update,posodobitev,Yes
I18N_UPDATE_TRANSLATIONS,Update translations label header modal,Update,posodobitev,Yes
I18N_UPLOAD,I18NCode for Upload,Upload,Naloži,Yes
I18N_UPLOAD_FILE_ERROR,I18NCode for Upload File Error in dropzone,File size greater than 5 MB,Velikost datoteke je večja od 5 MB,Yes
I18N_UPLOAD_FILES_SIZE,I18NCode for Upload Files Size label,Upload up to 2 files,Naložite do 2 datoteki,Yes
I18N_USAGES,I18NCode for Usages,Usages,Uporabe,Yes
I18N_USE_8_OR_MORE_CHARACTERS_WITH_A_MIX_OF_LETTERS__NUMBERS___SYMBOLS_,"I18NCode for Use 8 or more characters with a mix of letters, numbers & symbols.
","Use 8 or more characters with a mix of letters, numbers & symbols.","Uporabite 8 ali več znakov z mešanico črk, številk in simbolov.",Yes
I18N_USER,I18NCode for User,User,Uporabnik,Yes
I18N_USER_CREATED_SUCCESSFULLY,I18NCode for User Created Successfully,User created successfully! Please check your email to complete registration.,Uporabnik je uspešno ustvarjen!,Yes
I18N_USER_DOES_NOT_EXIST,I18NCode for User Does Not Exist,User does not exist,Uporabnik ne obstaja,Yes
I18N_USER_EMAIL_NOT_FOUND,I18NCode for User/Email not found,User/Email not found,Uporabnik/e-poštni naslov ni bil najden,Yes
I18N_USER_PROFILE,I18NCode for User Profile,User Profile,Uporabniški profil,Yes
I18N_USERNAME,I18NCode for UserName,Username,Uporabniško ime,Yes
I18N_USERS,I18NCode for Users,Users,Uporabniki,Yes
I18N_VALUE,I18NCode for Value,Value,Vrednost,Yes
I18N_VIS_W,I18NCode for VisW,Vis/W,Vis/W,Yes
I18N_VISI,I18NCode for Visi,Visi.,Visi.,Yes
I18N_VISION,I18NCode for Vision,Vision,Vizija,Yes
I18N_VISITORS,I18NCode for Visitors,Visitors,Obiskovalci,Yes
I18N_VISITS_12_MONTHS,I18NCode for Visits (12 months),Visitors (12 month),Obiskovalci (12 mesecev),Yes
I18N_VISITS_IS_REQUIRED,I18NCode for Visits is required,Visits is required,Obiski so obvezni,Yes
I18N_VISITS_NOT_QUALIFIED,I18NCode for Visits not qualified,Visits not Qualified,Obiski niso kvalificirani,Yes
I18N_VISITS_PER_WEEK__12_MONTHS_,I18NCode for Visits per Week (12 months),Visitors per Week (12 month),Obiskovalcev na teden (12 mesecev),Yes
I18N_VISNQ,I18NCode for VisNQ,VISNQ,VISNQ,Yes
I18N_WARNING,Warning!,Warning!,Opozorilo!,Yes
I18N_WARNING_ADD_TEAM,I18NCode for Warning Add team,You are adding a new team to the game.,V igro dodajate novo ekipo.,Yes
I18N_WARNING_MESSAGE,Warning message on I18NCode Update Modal,By editing the I18N Code you must remove the 'I18N' text and '_' between Words.,Z urejanjem kode I18N morate odstraniti besedilo 'I18N' in '_' med besedami.,Yes
I18N_WARNING_MESSAGE_ADD_KPI,I18NCode for Warning Message Add Kpi,You are adding a new Kpi to the game.,V igro dodajate nov Kpi.,Yes
I18N_WARNING_MESSAGE_AUTOMATIC_GENERATOR,I18NCode for Warning message Automatic Generator,You're automatically generating teams for the game. Auto-generating teams will remove all previous teams from the game.,Samodejno ustvarite ekipe za igro.,Yes
I18N_WARNING_MESSAGE_CHAPTER_GOAL,I18NCode for Warning Message Chapter Goal,"You are editing chapter objectives, calculations are disabled, make sure you are absolutely sure before proceeding.","Urejate cilje poglavja, izračuni so onemogočeni, preden nadaljujete, se prepričajte, da ste povsem prepričani.",Yes
I18N_WARNING_MESSAGE_CONTEXT,Warning message on context Update Modal,"By editing the Context Type, you might break the system permissions functionality. Please ensure you're absolutely certain before proceeding.",Z urejanjem vrste konteksta lahko prekinete delovanje sistemskih dovoljenj.,Yes
I18N_WARNING_MESSAGE_COUNTRY_GOAL,I18NCode for Warning Message Country GOAL,"You are editing country objectives, calculations are disabled, make sure you are absolutely sure before proceeding.","Urejate cilje držav, izračuni so onemogočeni, preden nadaljujete, se prepričajte, da ste povsem prepričani.",Yes
I18N_WARNING_MESSAGE_DIRECTOR_GOAL,I18NCode for Warning Message on Modal Update Director goal menu,"You are editing director objectives, calculations are disabled, make sure you are absolutely sure before proceeding.","Urejate cilje režiserja, izračuni so onemogočeni, preden nadaljujete, se prepričajte, da ste povsem prepričani.",Yes
I18N_WARNING_MESSAGE_EDIT_TEAM,I18NCode for Warning Message Edit Team,"You are editing a team, make sure you are absolutely sure before proceeding.","Urejate ekipo, zato se prepričajte, da ste popolnoma prepričani, preden nadaljujete.",Yes
I18N_WARNING_MESSAGE_GROUP_MECHANISMS,I18NCode for Warning Message in Group Mechanisms Update Modal,"You are editing chapter mechanisms, make sure you are absolutely sure before proceeding.","Urejate mehanizme poglavij, preden nadaljujete, se prepričajte, da ste popolnoma prepričani.",Yes
I18N_WARNING_MESSAGE_LANGUAGE,Warning message on language Update Modal,"By editing the Language translation, you might break the system permissions functionality. Please ensure you're absolutely certain before proceeding.",Z urejanjem jezikovnega prevoda lahko prekinete delovanje sistemskih dovoljenj.,Yes
I18N_WARNING_MESSAGE_MEMBER_MECHANISMS,I18NCode for Warning Message Member Mechanisms,"You are editing member mechanisms, make sure you are absolutely sure before proceeding.","Urejate mehanizme članov, zato se prepričajte, da ste popolnoma prepričani, preden nadaljujete.",Yes
I18N_WARNING_MESSAGE_MENU,I18NCode for Warning Message on Menu,"By editing the permission Menu, you might break the system permissions functionality. Please ensure you're absolutely certain before  proceeding.",Z urejanjem menija dovoljenj lahko prekinete delovanje sistemskih dovoljenj.,Yes
I18N_WARNING_MESSAGE_MODULE,Warning message on module Update Modal	,"By editing the Module Type, you might break the system permissions functionality. Please ensure you're absolutely certain before proceeding.",Z urejanjem vrste modula lahko prekinete delovanje sistemskih dovoljenj.,Yes
I18N_WARNING_MESSAGE_MULTI_REGION_GOAL,I18NCode for I18NCode for Warning Message Multi Region GOAL,"You are editing multi region objectives, calculations are disabled, make sure you are absolutely sure before proceeding.","Urejate cilje za več regij, izračuni so onemogočeni, preden nadaljujete, se prepričajte, da ste povsem prepričani.",Yes
I18N_WARNING_MESSAGE_NO_GAMES,I18NCode for WARNING MESSAGE NO Games,Start by adding a bni game.,Začnite z dodajanjem igre bni.,Yes
I18N_WARNING_MESSAGE_NO_KPI_ON_GAME,I18NCode for Warning Message No Kpi On Game,Start by adding a KPI to a game.,"Začnite tako, da igri dodate KPI.",Yes
I18N_WARNING_MESSAGE_NO_TEAMS,I18NCode for Warning message No Teams,Start by creating Teams for your BNI Game.,Začnite z ustvarjanjem ekip za svojo igro BNI.,Yes
I18N_WARNING_MESSAGE_PROFILE,Warning message on Update Modal in Profile Page,"By editing the Context Type, you can break the system's permissions functionality. Make sure you are absolutely sure before proceeding.",Z urejanjem vrste konteksta lahko prekinete delovanje sistemskih dovoljenj.,Yes
I18N_WARNING_MESSAGE_REGION_GOAL,I18NCode for Warning message on Modal update region goal menu,"You are editing region objectives, calculations are disabled, make sure you are absolutely sure before proceeding.","Urejate regijske cilje, izračuni so onemogočeni, preden nadaljujete, se prepričajte, da ste povsem prepričani.",Yes
I18N_WARNING_MESSAGE_TRANSLATION,Warning message on translation Update Modal,By editing the translation will update the description for the specific CodeI18N.,Z urejanjem prevoda bo posodobil opis za določeno kodoI18N.,Yes
I18N_WCA_DESCRIPTION,I19NCode for WCA description,"This is a <strong>weekly report</strong> that usually is sent to each <strong>Leadership Team</strong> every Monday 9PM.<br/>

The goal is to give information that President (Chapter Director in England), Vice-President and Secretary/Treasurer usually needs to dig on several BNIConnect reports to run their role.<br/>

With this report, the President can easily select the meeting stimulant or his final words to the meeting.<br/>

The Vice-President can understand who needs special attention and work with his coordinators to improve member performance.<br/>

The Events Coordinator understands who is not attending training and needs special motivational speech to do it.","To je <strong>tedensko poročilo</strong>, ki se običajno pošlje vsaki <strong>vodstveni ekipi</strong> vsak ponedeljek ob 21. uri.<br/>",Yes
I18N_WCA_WEEKLY_CHAPTER_ALERT_REPORT,I18NCode for WCA Weekly Chapter Alert Report,WCA - Weekly Chapter Alert Report,WCA - tedensko opozorilno poročilo poglavja,Yes
I18N_WE_NEED_YOU_TO_UPLOAD_A_PHOTO_OF_YOURSELF_,I18NCode for We need you to upload a photo of yourself.,We need you to upload a photo of yourself,"Potrebujemo, da naložite svojo fotografijo",Yes
I18N_WE_NEED_YOUR_ATTENTION,I18NCode for We need your Attention,We need your attention,Potrebujemo vašo pozornost,Yes
I18N_WEBSITE,I18NCode for website,Website,Spletna stran,Yes
I18N_WEEK_MEMBER_6AM,I18nCode for /week/member (6m),/week/member (6m),/teden/član (6m),Yes
I18N_WEEKLY_ALERT_REPORTS_SETTINGS,I18NCode for Weekly Alert Reports Settings,Weekly Alert Reports Settings,Nastavitve tedenskih opozorilnih poročil,Yes
I18N_WEEKS,I18NCode for Weeks,Weeks,tedne,Yes
I18N_WELCOME,Welcome message,Welcome,dobrodošli,Yes
I18N_WELCOME_TO_REPORTING2YOU_,I18NCode for Welcome to Reporting2You!,Welcome to Reporting2You,Dobrodošli v Reporting2You,Yes
I18N_WELCOME_TO_THE_MESSAGING_CHAT,I18NCode for Welcome to the messaging chat,Welcome to the Messaging Chat,Dobrodošli v klepetu za sporočila,Yes
I18N_WHAT_AREY_OUR_RIGHTS,I18NCode for What are your rights,What are your rights?,Kakšne so vaše pravice?,Yes
